Term,Category,Definition,Synonyms,Standard Source,AI_Derivable,Measurement Unit
Overlay Color,Phenotypic Trait,Secondary pigment suffusing or overlaying base color.,suffusion,RHS Color Chart,True,RGB/HEX
Markings,Phenotypic Trait,"Distinct pigmentation patterns: striped, spotted, blotched, tessellated.",pattern,RHS Color Chart,True,text
Color Saturation,Phenotypic Trait,Intensity of color from pastel to vivid.,tone,RHS Color Chart,True,scale 0-1
Inflorescence Type,Morphological,"Arrangement of flowers: raceme, spike, panicle, umbel.",flowering stalk,Botanical Glossary,True,text
Inflorescence Orientation,Morphological,"Position of inflorescence: erect, arching, pendulous.",spike orientation,AOS Glossary,True,text
Inflorescence Length,Quantitative Trait,Length of the flowering stalk.,spike length,Botanical Glossary,True,cm
Fragrance,Phenotypic Trait,Presence and type of odor emitted by flowers.,odor,AOS Glossary,True,descriptors
Resupination,Morphological,Twisting of ovary causing labellum to be lowermost.,none,Botanical Glossary,True,binary
Anthesis,Phenological,Stage of full flower opening and function.,blooming stage,Botanical Glossary,False,days
Grex,Taxonomic,A group of hybrids of the same parentage.,hybrid group,RHS Registry,False,text
Cultivar,Taxonomic,A horticultural variety selected for desirable traits.,clonal name,RHS Registry,False,text
Lip Callus 1,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 1,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 1,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 1,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 1,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 1,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 1,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 1,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 1,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 1,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 2,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 2,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 2,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 2,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 2,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 2,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 2,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 2,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 2,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 2,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 3,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 3,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 3,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 3,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 3,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 3,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 3,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 3,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 3,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 3,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 4,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 4,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 4,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 4,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 4,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 4,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 4,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 4,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 4,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 4,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 5,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 5,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 5,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 5,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 5,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 5,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 5,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 5,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 5,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 5,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 6,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 6,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 6,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 6,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 6,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 6,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 6,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 6,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 6,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 6,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 7,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 7,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 7,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 7,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 7,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 7,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 7,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 7,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 7,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 7,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 8,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 8,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 8,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 8,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 8,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 8,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 8,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 8,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 8,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 8,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 9,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 9,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 9,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 9,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 9,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 9,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 9,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 9,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 9,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 9,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Lip Callus 10,Floral Organ,"Thickened area on the labellum, often guiding pollinators.",callus,AOS Glossary; RHS,True,text
Petal Apex 10,Floral Organ,"Tip of the petal; may be acute, obtuse, acuminate.",apex,Botanical Glossary,True,text
Sepal Base 10,Floral Organ,Bottom portion of sepal where it attaches to the column or pedicel.,base,Botanical Glossary,True,text
Leaf Texture 10,Vegetative,"Surface quality of leaves: leathery, fleshy, coriaceous, succulent.",finish,Botanical Glossary; MBG,True,text
Inflorescence Branching 10,Morphological,"Pattern of branching along the inflorescence: simple, compound.",branching,Botanical Glossary,True,text
Color Overlay Pattern 10,Phenotypic Trait,"Secondary pigment overlay pattern: striped, spotted, tessellated.",overlay pattern,RHS Color Chart,True,text
Flower Opening Stage 10,Phenological,"Stage of anthesis: bud, half-open, fully open, fading.",anthesis stage,Botanical Glossary,True,text
Root Velamen Thickness 10,Vegetative,Thickness of spongy root epidermis aiding water absorption.,velamen depth,Kew Glossary; MBG,True,microns
Pseudobulb Length 10,Vegetative,Length of the storage pseudobulb.,bulb length,AOS Glossary,True,mm
Pedicel Length 10,Morphological,Length of the flower stalk connecting ovary to inflorescence axis.,stalk length,Botanical Glossary,True,mm
Color 139,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Form 140,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Column 141,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,False,text
Symmetry 142,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Column 143,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Column 144,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Grex 145,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Leaf Shape 146,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,True,text
Leaf Shape 147,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,True,text
Dorsal Sepal 148,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Native Range 149,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Petal 150,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Petal 151,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Petal 152,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Form 153,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Dorsal Sepal 154,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Color 155,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Flower Size 156,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Native Range 157,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Symmetry 158,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Column 159,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,False,text
Symmetry 160,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Native Range 161,Environmental,Region/country of origin.,origin,Kew; EOL,False,text
Symmetry 162,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Petal 163,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Color 164,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Petal 165,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Native Range 166,Environmental,Region/country of origin.,origin,Kew; EOL,False,text
Color 167,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Grex 168,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Flower Size 169,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Dorsal Sepal 170,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,False,mm
Flower Size 171,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,False,cm
Petal 172,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Color 173,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Symmetry 174,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Symmetry 175,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Dorsal Sepal 176,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,False,mm
Symmetry 177,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Dorsal Sepal 178,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Petal 179,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Symmetry 180,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Labellum 181,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Native Range 182,Environmental,Region/country of origin.,origin,Kew; EOL,False,text
Leaf Shape 183,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,True,text
Flower Size 184,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Petal 185,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Column 186,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,False,text
Dorsal Sepal 187,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Labellum 188,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Leaf Shape 189,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,False,text
Color 190,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Native Range 191,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Petal 192,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Petal 193,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Leaf Shape 194,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,False,text
Labellum 195,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,True,text
Symmetry 196,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Petal 197,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Leaf Shape 198,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,True,text
Petal 199,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Labellum 200,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Native Range 201,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Dorsal Sepal 202,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,False,mm
Symmetry 203,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Column 204,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Grex 205,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Grex 206,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Flower Size 207,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,False,cm
Dorsal Sepal 208,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Symmetry 209,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Symmetry 210,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Labellum 211,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Dorsal Sepal 212,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Dorsal Sepal 213,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,False,mm
Labellum 214,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,True,text
Grex 215,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Symmetry 216,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Column 217,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Petal 218,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Color 219,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Form 220,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Labellum 221,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Native Range 222,Environmental,Region/country of origin.,origin,Kew; EOL,False,text
Native Range 223,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Color 224,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Color 225,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Labellum 226,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Petal 227,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Grex 228,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Symmetry 229,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Flower Size 230,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,False,cm
Symmetry 231,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Color 232,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Color 233,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Symmetry 234,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Column 235,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Color 236,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Native Range 237,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Form 238,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,True,qualitative
Form 239,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Symmetry 240,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Dorsal Sepal 241,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Column 242,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Petal 243,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Symmetry 244,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Leaf Shape 245,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,True,text
Form 246,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Grex 247,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,False,text
Grex 248,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Petal 249,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Symmetry 250,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,False,score 0-1
Symmetry 251,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Grex 252,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,False,text
Leaf Shape 253,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,True,text
Color 254,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Native Range 255,Environmental,Region/country of origin.,origin,Kew; EOL,False,text
Labellum 256,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,True,text
Dorsal Sepal 257,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,False,mm
Native Range 258,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Symmetry 259,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Form 260,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Symmetry 261,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Flower Size 262,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,False,cm
Column 263,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Dorsal Sepal 264,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Native Range 265,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
