occurrenceID	basisOfRecord	scientificName	scientificNameAuthorship	taxonRank	kingdom	family	genus	specificEpithet	infraspecificEpithet	taxonRemarks	eventDate	year	month	day	recordedBy	identifiedBy	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	country	countryCode	stateProvince	county	locality	elevation	elevationUnit	habitat	associatedTaxa	occurrenceRemarks	catalogNumber	institutionCode	collectionCode	license	rightsHolder	datasetName	references
ORCHID_72	HumanObservation	Ctna		species	Plantae	Orchidaceae	Ctna				2025-08-23	2025	8	23												meters			AI description: Ctna  is a beautiful orchid with unique characteristics.	72	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_73	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	73	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_74	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	74	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_251	HumanObservation	Pot Rock Star		species	Plantae	Orchidaceae	Potinara				2025-08-23	2025	8	23												meters			AI description: AI identified as Potinara hybrid with 87% confidence. Features epiphytic growth habit with medium flowers.	251	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_225	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	225	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_226	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	226	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_227	HumanObservation	Blc		species	Plantae	Orchidaceae	Blc				2025-08-23	2025	8	23												meters			AI description: Blc  is a beautiful orchid with unique characteristics.	227	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_228	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	228	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_229	HumanObservation	C		species	Plantae	Orchidaceae	C				2025-08-23	2025	8	23												meters			AI description: C  is a beautiful orchid with unique characteristics.	229	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_276	HumanObservation	Encyclia osmantha		species	Plantae	Orchidaceae	Encyclia	osmantha			2025-08-23	2025	8	23												meters			AI description: AI identified as Encyclia osmantha with 80% confidence. Features epiphytic growth habit with medium flowers.	276	FCOS	species_folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_277	HumanObservation	Epidendrum radioferans	L.	species	Plantae	Orchidaceae	Epidendrum	radioferans			2025-08-23	2025	8	23						Ecuador	EC	Native to Ecuador				meters	Epiphytic or terrestrial in diverse habitats		AI description: AI identified as Epidendrum radioferans with 71% confidence. Features epiphytic growth habit with small flowers.; Genus native to: Ecuador, Colombia, Brazil	277	FCOS	species_folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_283	HumanObservation	Epidendrum echinatum	L.	species	Plantae	Orchidaceae	Epidendrum	echinatum			2025-08-23	2025	8	23						Ecuador	EC	Native to Ecuador				meters	Epiphytic or terrestrial in diverse habitats		AI description: AI identified as Epidendrum echinatum with 77% confidence. Features epiphytic growth habit with small flowers.; Genus native to: Ecuador, Colombia, Brazil	283	FCOS	species_folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_290	HumanObservation	Epidendrum ciliare	L.	species	Plantae	Orchidaceae	Epidendrum	ciliare			2025-08-23	2025	8	23						Ecuador	EC	Native to Ecuador				meters	Epiphytic or terrestrial in diverse habitats		AI description: Epidendrum ciliare is a beautiful orchid with unique characteristics.; Genus native to: Ecuador, Colombia, Brazil	290	FCOS	species_folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_291	HumanObservation	Neolauchea pulchella		species	Plantae	Orchidaceae	Neolauchea	pulchella			2025-08-23	2025	8	23												meters			AI description: Neolauchea pulchella is a beautiful orchid with unique characteristics.	291	FCOS	species_folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_312	HumanObservation	Baptistonia echinata		species	Plantae	Orchidaceae	Baptistonia	echinata			2025-08-23	2025	8	23						Brazil		Brazil		Brazil		meters			AI description: AI identified as Baptistonia echinata with 80% confidence. Features epiphytic growth habit with medium flowers.	312	FCOS	world_collection_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_30	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	30	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_31	HumanObservation	Angcm		species	Plantae	Orchidaceae	Angcm				2025-08-23	2025	8	23												meters			AI description: Angcm  is a beautiful orchid with unique characteristics.	31	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_51	HumanObservation	Jum aracnantha		species	Plantae	Orchidaceae	Jum	aracnantha			2025-08-23	2025	8	23												meters			AI description: Jum aracnantha is a beautiful orchid with unique characteristics.	51	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_52	HumanObservation	Epi unnamed		species	Plantae	Orchidaceae	Epi	unnamed			2025-08-23	2025	8	23												meters			AI description: Epi unnamed is a beautiful orchid with unique characteristics.	52	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_230	HumanObservation	Blc Ranger Six		hybrid	Plantae	Orchidaceae	Brassolaeliocattleya			hybrid	2025-08-23	2025	8	23												meters			AI description: Cattleya orchid known for its large, showy, often fragrant flowers. This  variety displays the characteristic beauty of the Cattleya genus.	230	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_231	HumanObservation	B nodosa		species	Plantae	Orchidaceae	Brassavola				2025-08-23	2025	8	23												meters			AI description: Brassavola  is a beautiful orchid with unique characteristics.	231	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_232	HumanObservation	L Gouldiana	Lindl.	species	Plantae	Orchidaceae	Laelia				2025-08-23	2025	8	23						Brazil	BR	Native to Brazil				meters	Epiphytic or terrestrial orchid		AI description: Laelia  is a beautiful orchid with unique characteristics.; Genus native to: Brazil, Mexico, Ecuador	232	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_235	HumanObservation	Epi Fuschia	L.	species	Plantae	Orchidaceae	Epidendrum				2025-08-23	2025	8	23						Ecuador	EC	Native to Ecuador				meters	Epiphytic or terrestrial in diverse habitats		AI description: Epidendrum  is a beautiful orchid with unique characteristics.; Genus native to: Ecuador, Colombia, Brazil	235	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_243	HumanObservation	L Nemesis	Lindl.	species	Plantae	Orchidaceae	Laelia				2025-08-23	2025	8	23						Brazil	BR	Native to Brazil				meters	Epiphytic or terrestrial orchid		AI description: Laelia  is a beautiful orchid with unique characteristics.; Genus native to: Brazil, Mexico, Ecuador	243	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_249	HumanObservation	Blc Arthur Bossin		species	Plantae	Orchidaceae	Brassolaeliocattleya				2025-08-23	2025	8	23												meters			AI description: Cattleya orchid known for its large, showy, often fragrant flowers. This  variety displays the characteristic beauty of the Cattleya genus.	249	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_253	HumanObservation	Prosthechea Elfin		species	Plantae	Orchidaceae	Prosthechea				2025-08-23	2025	8	23												meters			AI description: AI identified as Prosthechea hybrid with 78% confidence. Features epiphytic growth habit with medium flowers.	253	FCOS	folder_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_305	HumanObservation	Ancistrochilus rothschildianus		species	Plantae	Orchidaceae	Ancistrochilus	rothschildianus			2025-08-23	2025	8	23						Africa		Africa		Africa		meters			AI description: Ancistrochilus rothschildianus is a beautiful orchid with unique characteristics.	305	FCOS	world_collection_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_321	HumanObservation	Bulbophyllum auratum	(Thouars) Louis	species	Plantae	Orchidaceae	Bulbophyllum	auratum			2025-08-23	2025	8	23						Indonesia	ID	Indonesia		Indonesia		meters	Epiphytic on trees in tropical rainforests		AI description: AI identified as Bulbophyllum auratum with 91% confidence. Features epiphytic growth habit with small flowers.; Genus native to: Indonesia, Malaysia, Thailand	321	FCOS	world_collection_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_322	HumanObservation	Bulbophyllum bandischii	(Thouars) Louis	species	Plantae	Orchidaceae	Bulbophyllum	bandischii			2025-08-23	2025	8	23						Papua New Guinea		Papua New Guinea		Papua New Guinea		meters	Epiphytic on trees in tropical rainforests		AI description: AI identified as Bulbophyllum bandischii with 77% confidence. Features epiphytic growth habit with small flowers.; Genus native to: Indonesia, Malaysia, Thailand	322	FCOS	world_collection_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_82	HumanObservation	Angcm bancoense		species	Plantae	Orchidaceae	Angcm	bancoense			2025-08-23	2025	8	23												meters			AI description: Angcm bancoense is a beautiful orchid with unique characteristics.	82	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_83	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	83	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_84	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	84	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_85	HumanObservation	Slc		species	Plantae	Orchidaceae	Slc				2025-08-23	2025	8	23												meters			AI description: Slc  is a beautiful orchid with unique characteristics.	85	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_86	HumanObservation	C		species	Plantae	Orchidaceae	C				2025-08-23	2025	8	23												meters			AI description: C  is a beautiful orchid with unique characteristics.	86	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_89	HumanObservation	C		species	Plantae	Orchidaceae	C				2025-08-23	2025	8	23												meters			AI description: C  is a beautiful orchid with unique characteristics.	89	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_94	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	94	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_103	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	103	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_104	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	104	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_105	HumanObservation	Pot		species	Plantae	Orchidaceae	Pot				2025-08-23	2025	8	23												meters			AI description: Pot  is a beautiful orchid with unique characteristics.	105	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_106	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	106	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_107	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	107	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_108	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	108	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
